sensor-id,humidity
AZ,26
AR,54
NM,98
RI,83
AZ,32
OK,25
AZ,10
FL,03
UT,32
ID,97
NE,14
GA,34
OR,50
WV,10
TN,26
OH,20
LA,66
OR,64
AK,14
ME,14
IL,63
RI,55
TN,25
AK,19
NM,07
ME,44
OK,45
OR,76
CT,36
IL,86
CA,17
AK,78
AK,92
MO,12
MO,67
AL,17
KY,76
LA,89
OH,09
KY,38
WV,60
ND,51
MS,51
TX,52
NV,46
SC,50
CO,39
UT,50
WA,08
ND,88
SC,84
ID,39
MO,98
LA,82
OR,07
LA,01
VA,39
NV,24
NH,04
OH,06
FL,70
AL,39
NH,46
IA,99
NH,35
NE,20
IL,83
AR,76
WA,94
AR,19
HI,84
MN,63
WI,NaN
OR,13
NM,35
HI,47
UT,48
MO,96
PA,62
MD,29
UT,60
IL,97
ID,93
OH,49
IN,54
DE,81
WI,NaN
MI,45
MS,36
NJ,68
WY,84
NH,23
OH,13
ME,75
UT,39
ND,23
WI,NaN
UT,70
PA,86
HI,38
UT,40
IL,01
OR,27
PA,51
KY,17
NY,95
MT,63
AK,34
RI,36
ID,65
MO,30
NE,88
DE,99
TN,21
KY,15
MD,56
NH,58
NC,71
KS,08
IA,04
ND,54
OK,81
KY,01
AR,35
NH,49
KS,71
TX,67
AL,13
WY,96
NC,03
ND,10
OR,30
ND,08
SD,65
NV,77
MN,07
WA,63
OH,55
WI,NaN
VA,33
NC,81
AR,50
GA,97
AL,00
WY,90
DC,92
MS,20
NJ,82
UT,05
ID,85
FL,24
AZ,07
IA,72
PA,87
CO,27
AK,88
KS,27
NY,31
MT,47
WY,31
SC,71
IL,67
NJ,26
KS,33
MI,68
UT,04
IA,22
CA,31
NY,80
CA,12
WA,90
WI,NaN
KY,27
ID,43
MI,76
TN,67
NC,85
NC,85
AK,96
CO,07
MO,21
OK,06
MT,40
AK,66
HI,96
ND,51
NJ,40
CO,97
HI,98
DE,03
NC,53
IN,85
NV,96
FL,47
MA,30
DE,72
MO,54
KS,47
VA,44
WI,NaN
VT,77
WV,10
NH,31
CA,18
WV,54
CT,72
AZ,18
ID,72
ND,34
WV,36
UT,55
ND,92
DE,07
AL,87
DE,62
NH,25
ID,83
UT,17
WV,75
UT,58
IL,75
MN,64
WA,58
SD,08
CA,08
NM,19
VT,04
MD,66
AR,21
NJ,19
CT,96
SC,86
VT,07
WY,95
SC,54
OH,75
IN,51
AL,79
GA,30
OK,93
NH,76
MD,07
MD,52
OK,84
ME,49
KS,56
WA,41
IL,25
CT,37
NH,98
IL,53
DC,98
MS,42
MD,10
UT,10
SD,57
KS,16
IN,79
NC,94
VA,68
MN,16
IA,12
MS,56
MN,23
CA,39
MT,16
DC,27
DC,56
MD,12
VA,59
WI,NaN
WI,NaN
AL,24
RI,72
WI,NaN
MN,73
NC,62
CT,96
ME,44
NH,98
VT,74
IN,62
OH,09
MT,81
NV,30
ME,57
AZ,78
NV,76
IA,64
MO,03
WI,NaN
VA,96
OR,36
TX,22
WI,NaN
AL,41
OK,31
MA,46
NC,98
OK,47
CO,18
LA,45
AK,11
DE,35
KS,92
OR,57
GA,77
IA,18
NE,60
WA,51
IA,90
LA,14
NC,12
GA,38
NE,69
VA,35
NY,25
DC,24
AR,00
VA,33
CA,55
AK,91
MI,11
MT,20
AL,76
AK,07
MA,95
MN,87
SC,04
MS,08
LA,80
LA,78
DC,28
NM,59
WY,54
PA,16
CA,64
FL,69
MD,62
NV,49
CT,69
NE,81
IA,16
DC,59
GA,23
OR,32
IA,16
GA,49
AL,38
IA,68
WY,37
MI,16
IN,19
MS,32
PA,15
IN,17
AL,47
MA,28
CT,00
AL,96
KS,69
CT,25
NM,67
ND,67
TX,91
MS,94
IN,00
OR,78
OK,69
NJ,75
TN,02
NH,84
KS,28
GA,39
LA,03
OR,31
NJ,75
IA,05
OK,93
OR,46
IL,41
CO,32
PA,38
NH,21
NV,69
DC,44
HI,30
LA,78
CA,79
OK,00
CA,57
AL,63
CO,56
KS,26
OH,18
NV,66
MA,61
AK,50
AZ,40
AL,32
TX,65
KY,71
MT,33
DE,38
MO,40
AR,34
NV,98
IA,67
AZ,23
VT,74
NC,88
AR,38
NM,02
VA,65
NC,04
NJ,32
WI,NaN
SD,77
UT,82
WY,45
WI,NaN
DE,14
VA,54
NV,39
DC,97
DC,58
CO,18
OH,70
NC,11
NC,77
MD,76
MI,18
ND,66
TX,69
NV,02
IN,85
WI,NaN
AL,49
FL,95
RI,50
FL,10
NH,97
ND,85
NM,52
IA,93
TN,04
UT,73
NH,59
OH,64
MO,68
ID,48
WV,41
CT,51
AL,38
NY,51
NC,13
MA,46
DE,84
NV,60
NH,64
NC,36
ID,05
NC,39
KY,52
TX,96
CA,86
CO,04
AR,44
MT,96
NE,30
RI,25
IL,34
MS,38
GA,25
OH,84
AK,45
OH,03
WY,55
DE,74
WI,NaN
MD,98
MI,13
NJ,33
OK,22
FL,46
SC,37
AZ,14
SC,71
CT,03
GA,22
PA,40
FL,86
OH,27
WV,48
SC,44
NV,51
DE,41
WV,06
NY,13
KS,54
VA,86
AZ,98
VA,92
MI,66
SC,67
ID,07
NY,91
MI,55
DE,46
MD,11
LA,52
AL,56
KY,73
NJ,39
CA,92
ID,46
AZ,95
AK,46
IL,84
LA,51
TN,77
VA,41
IA,54
VA,81
NY,69
SD,89
WV,45
NH,40
CO,53
DE,38
TN,97
MT,15
MA,92
ME,17
CT,51
AR,97
IN,13
AZ,85
NV,86
TX,76
MT,61
NH,29
MN,47
GA,83
DE,82
CO,57
MT,68
NE,31
MA,74
IL,09
FL,81
TN,14
AK,58
OH,59
KY,00
CT,88
FL,25
FL,95
NC,42
DE,98
MI,79
ME,57
VT,68
GA,69
DE,02
UT,35
NY,98
KS,55
ND,31
WA,05
ID,10
NH,60
MO,34
CT,97
WA,10
NY,85
ND,64
AK,36
KY,21
TN,01
ID,16
AZ,11
OH,19
MT,46
SC,30
MI,33
SD,28
ME,39
KS,44
NV,50
DE,07
ME,78
IA,33
FL,58
AZ,63
WA,88
WV,60
OR,15
MA,39
MT,55
DC,44
OK,43
NJ,20
DC,53
MA,41
MI,49
FL,88
PA,69
SC,33
ND,00
OR,89
OH,81
UT,62
ND,95
NJ,09
IA,21
SD,97
AZ,14
TN,81
NE,80
CA,17
NC,15
VT,06
SC,33
AK,99
KY,34
NJ,53
NH,00
DE,23
WA,14
MI,42
MD,88
OH,00
NM,92
LA,22
IL,79
AR,95
FL,80
AK,34
NH,33
WY,48
NM,57
TN,26
TN,18
NV,24
OR,46
LA,69
NV,18
ME,61
MT,49
MN,31
RI,19
NM,77
MS,64
NY,29
ME,79
MA,99
PA,62
AL,64
IA,39
CO,70
MI,40
MO,68
AZ,45
IN,42
AK,97
KS,94
KY,71
WV,45
NE,88
KS,36
NM,08
FL,70
ID,01
FL,88
RI,32
NJ,33
MS,41
WY,59
NY,32
AL,87
CT,19
VA,77
CO,70
MN,05
ME,37
WV,50
CA,63
NM,18
NC,73
LA,02
LA,43
DE,73
NC,97
GA,43
MO,87
AR,73
TX,71
TX,96
NC,14
NH,10
TX,00
AL,45
FL,03
FL,87
MD,54
WV,48
AL,44
OK,68
ND,14
MS,77
MD,76
KY,97
OR,76
KS,51
OR,55
OH,46
MO,58
GA,03
CO,04
OK,56
MA,41
AZ,46
IL,52
MN,38
OH,11
AL,58
TX,43
VA,06
VT,19
IA,34
WI,NaN
KY,13
PA,47
RI,81
NV,53
ME,86
KY,90
TN,13
ND,41
MN,62
LA,10
ME,40
WY,71
VA,22
WA,24
MN,83
DE,40
MS,88
OR,12
AR,07
TX,21
VT,92
ID,38
GA,73
MA,01
AZ,65
NV,74
MI,61
NJ,61
RI,14
LA,38
DE,20
AZ,27
VT,97
NH,61
NH,45
GA,97
NM,00
TN,23
GA,98
NM,69
DE,35
SD,09
NM,89
UT,04
NE,99
DC,95
IN,35
MD,06
AR,49
IN,39
KS,70
IL,33
IN,75
IL,00
TN,51
HI,01
ME,25
NH,40
SC,69
HI,45
MS,99
SC,35
NJ,39
TX,32
VA,53
MS,13
IL,98
WI,NaN
ND,32
WA,77
TN,64
CT,07
NH,87
SD,30
UT,90
FL,40
AR,98
OR,68
NH,32
IL,07
ID,05
NM,12
IL,88
OK,07
CT,30
NE,77
WA,10
AR,20
AK,13
WY,29
WY,65
TN,69
WI,NaN
MD,88
FL,02
VA,96
IN,25
IA,25
AR,51
GA,94
CT,37
WA,77
MT,71
DE,11
NH,56
DE,81
TN,64
SC,14
NV,46
LA,87
CA,62
NJ,03
MO,29
NY,98
GA,48
NV,14
CT,35
IN,24
OH,18
NY,54
MO,77
PA,55
PA,57
NH,08
PA,08
MD,94
MA,83
NE,64
NM,61
OK,43
NH,01
AL,13
CT,24
AR,35
AK,51
AR,74
AZ,26
OR,78
AK,13
WI,NaN
NC,76
OK,25
MO,27
FL,79
NC,34
AK,24
ME,33
ME,71
NH,51
MN,38
UT,01
MN,13
MA,08
NM,78
VT,29
CA,40
NJ,29
TN,18
CT,26
LA,40
NY,57
NY,71
GA,30
HI,36
OR,11
WV,04
MS,39
NE,42
NJ,28
